ID,ProductID,SupplierName,SupplierCountry,SupplierContactEmail,Specifications,MarketingMaterial
11,11,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Ethiopian and Indonesian beans\nAltitude: Various (1,300 - 2,000 meters)\nVariety: Mixed (Arabica)\nProcess: Washed and Natural\nRoast: Medium-Dark\nTasting Notes: Complex, wine-like acidity with a syrupy body\nAroma: Intense with berry and earthy notes\nBody: Full\nAcidity: Bright and complex\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Experience the classic taste of our Mocha Java Blend, a time-honored combination that brings together the best of two coffee worlds. This blend marries the bright, fruity notes of Ethiopian beans with the earthy, full-bodied flavors of Indonesian coffee.\n\nThe result is a complex and satisfying cup with a wine-like acidity and a syrupy body. You'll detect intense berry notes from the Ethiopian beans, balanced by the earthy depth of the Indonesian component.\n\nOur roasters have carefully crafted this blend to honor its historic roots while appealing to modern palates. Whether you're a coffee history buff or simply in search of a uniquely flavorful cup, our Mocha Java Blend offers a taste experience like no other."
12,12,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans\nAltitude: Various (1,200 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed\nRoast: Dark\nTasting Notes: Rich, bittersweet chocolate, caramel\nAroma: Strong and fragrant\nBody: Full\nAcidity: Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Elevate your espresso experience with our carefully crafted Espresso Blend. This dark roast combines select Central and South American beans to create a rich, full-bodied coffee perfect for espresso brewing.\n\nIn the cup, you'll find pronounced notes of bittersweet chocolate and caramel, creating a complex and satisfying flavor profile. The low acidity and full body produce a smooth, creamy espresso with a beautiful crema.\n\nOur roasters have fine-tuned this blend to perform exceptionally well under pressure, making it ideal for espresso machines and stovetop brewers. Whether you're pulling a single shot or crafting a latte, our Espresso Blend provides the perfect foundation for your favorite coffee drinks."
13,13,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Brazilian and Colombian beans\nAltitude: Various (1,000 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed\nRoast: Very Dark\nTasting Notes: Intense, smoky, with hints of dark chocolate\nAroma: Bold and roasty\nBody: Very Full\nAcidity: Very Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Dive into the deep, intense flavors of our Italian Roast Espresso, a blend that pays homage to the bold coffee traditions of Italy. This very dark roast combines Brazilian and Colombian beans to create a coffee that stands up beautifully in milk-based drinks.\n\nThe flavor profile is dominated by smoky, roasty notes with hints of dark chocolate. The very low acidity and full body produce a smooth, rich espresso with a thick, lasting crema.\n\nOur roasters have pushed this blend to the edge of darkness, creating a powerful yet balanced coffee that's perfect for those who love their espresso strong and intense. Whether you're making a cappuccino, latte, or enjoying it as a straight shot, our Italian Roast Espresso delivers a truly authentic espresso experience."
14,14,Federación Nacional de Cafeteros,Colombia,export@cafedecolombia.com,"Origin: Huila region, Colombia\nAltitude: 1,500 - 1,900 meters\nVariety: Caturra, Castillo\nProcess: Washed, Swiss Water Process Decaf\nRoast: Medium\nTasting Notes: Chocolate, caramel, mild citrus\nAroma: Sweet with hints of nuts\nBody: Medium\nAcidity: Balanced\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Enjoy the full flavor of Colombian coffee without the caffeine with our Decaf Colombian. Using the Swiss Water Process, we've carefully removed the caffeine while preserving the coffee's delightful taste profile.\n\nYou'll still experience the smooth, well-balanced flavors that Colombian coffee is known for, with notes of chocolate and caramel, and a hint of citrus. The medium body and balanced acidity make this a versatile choice for any time of day.\n\nOur partnership with the Colombian Coffee Growers Federation ensures that this decaf option is not only delicious but also ethically sourced. Whether you're cutting back on caffeine or looking for an evening cup, our Decaf Colombian delivers all the flavor without keeping you up at night."
15,15,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans\nAltitude: Various (1,200 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed, Swiss Water Process Decaf\nRoast: Dark\nTasting Notes: Rich, bittersweet chocolate, caramel\nAroma: Strong and fragrant\nBody: Full\nAcidity: Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Experience the rich taste of espresso without the caffeine with our Decaf Espresso Blend. This carefully crafted blend uses beans that have undergone the Swiss Water Process to remove caffeine while maintaining the coffee's integral flavors.\n\nIn the cup, you'll find the same pronounced notes of bittersweet chocolate and caramel that characterize our regular Espresso Blend. The low acidity and full body produce a smooth, creamy espresso with a beautiful crema, all without the caffeine kick.\n\nOur roasters have ensured that this decaf version performs just as well under pressure as its caffeinated counterpart. Whether you're enjoying an after-dinner espresso or are sensitive to caffeine, our Decaf Espresso Blend lets you indulge in the full espresso experience any time of day."
16,16,Cooperativa Agraria Cafetalera Perené,Peru,info@cooperativaperene.pe,"Origin: Junín region, Peru\nAltitude: 1,200 - 1,800 meters\nVariety: Typica, Bourbon, Caturra\nProcess: Washed\nRoast: Medium\nTasting Notes: Nutty, chocolate, with a hint of citrus\nAroma: Sweet and balanced\nBody: Medium\nAcidity: Mild to medium\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Discover the smooth, balanced flavors of our Organic Peru, a coffee that exemplifies the best of South American organic farming practices. Grown in the lush Junín region, these beans are cultivated without synthetic pesticides or fertilizers, resulting in a clean, pure taste.\n\nEach sip offers a harmonious blend of nutty and chocolate notes, with a subtle citrus brightness. The mild acidity and medium body make this an extremely approachable and versatile coffee.\n\nOur partnership with the Cooperativa Agraria Cafetalera Perené ensures that this coffee is not only certified organic but also ethically sourced. By choosing this coffee, you're supporting sustainable farming practices and contributing to the livelihood of small-scale farmers in Peru."
17,17,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans\nAltitude: Various (1,000 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed\nRoast: Very Dark\nTasting Notes: Smoky, intense, with a hint of dark chocolate\nAroma: Bold and powerful\nBody: Full\nAcidity: Very Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Embrace the bold intensity of our French Roast, a coffee that pushes the boundaries of darkness. This very dark roast blend combines carefully selected Central and South American beans to create a powerful, smoky flavor profile.\n\nIn the cup, you'll experience an intense, smoky taste with subtle hints of dark chocolate. The very low acidity and full body result in a smooth, rich coffee that stands up well to milk and sweeteners.\n\nOur roasters have skillfully brought these beans to the peak of darkness without crossing into bitterness. Whether you're looking for a strong start to your day or a robust after-dinner coffee, our French Roast delivers a deeply satisfying experience for those who love their coffee dark and intense."
18,18,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of South American and African beans\nAltitude: Various (1,200 - 2,000 meters)\nVariety: Mixed (Arabica)\nProcess: Washed and Natural\nRoast: Medium\nTasting Notes: Smooth, balanced, with notes of chocolate and fruit\nAroma: Rich and complex\nBody: Full\nAcidity: Balanced\nPackage: 1 lb (454g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Elevate your cold brew experience with our specially crafted Cold Brew Blend. This carefully selected mix of South American and African beans is designed to shine when steeped in cold water, resulting in a smooth, flavorful concentrate.\n\nThe flavor profile offers a perfect balance of chocolate notes and subtle fruitiness, creating a complex and satisfying cold brew. The full body ensures that the coffee stands up well to ice and milk, making it versatile for a variety of cold coffee drinks.\n\nOur roasters have developed this blend to be coarse ground, optimizing it for cold brew preparation. Whether you're making a big batch for the week or experimenting with nitro cold brew at home, this blend provides the ideal foundation for your cold coffee creations."
19,19,Baratza,USA,info@baratza.com,"Type: Burr Grinder\nBurr Type: Stainless Steel Conical Burrs\nGrind Settings: 40\nHopper Capacity: 8 oz (227g)\nPower: 110V AC (220V EU model available)\nDimensions: 12.5""H x 4.7""W x 6.3""D\nWeight: 3.4 lbs (1.54 kg)\nWarranty: 1 year","Achieve precision in your coffee grinding with our Precision Coffee Grinder. Designed for the discerning home barista, this grinder offers cafe-quality results in a compact, kitchen-friendly design.\n\nThe stainless steel conical burrs ensure a consistent grind size, critical for even extraction and great-tasting coffee. With 40 grind settings, you can easily adjust from fine espresso to coarse French press grind and everything in between.\n\nThe 8 oz hopper capacity is perfect for home use, while the compact design doesn't compromise on power or performance. Whether you're just starting your home coffee journey or are a seasoned enthusiast, our Precision Coffee Grinder is the perfect tool to elevate your coffee game."
20,20,Breville,Australia,info@breville.com,"Type: Drip Coffee Maker\nCapacity: 12 cups\nCarafe: Thermal Stainless Steel\nProgrammable: Yes, with 24-hour start timer\nBrew Strength Control: Yes\nWater Filter: Yes, built-in\nDimensions: 14.5""H x 9.5""W x 12.5""D\nPower: 1100 Watts\nWarranty: 2 years","Elevate your home brewing experience with our Coffee Maker Deluxe, a premium drip coffee maker designed for coffee enthusiasts who demand cafe-quality results at home.\n\nThis state-of-the-art machine features precise temperature control and a shower head design that ensures even saturation of coffee grounds, resulting in optimal extraction and superior flavor. The thermal carafe keeps your coffee hot for hours without compromising taste.\n\nProgrammable features allow you to set your brew up to 24 hours in advance, while the adjustable brew strength control lets you customize each pot to your preference. The built-in water filter ensures that your coffee always starts with the purest water possible.\n\nWhether you're brewing for one or entertaining a crowd, the Coffee Maker Deluxe delivers consistently delicious coffee with the convenience and control you deserve."
